Step,V2I_rate,V2V_Rate,V2V_success,Remaining_V2V_payload
78,"5.5,2.71,0.97,14.8","0.0,0.24,0.96,0.0",0.25,"0.0,3912.92,2397.63,1047.56"
79,"9.42,1.54,2.1,1.43","0.0,0.58,0.35,0.67",0.25,"0.0,3330.13,2044.54,379.02"
80,"10.43,1.37,1.35,1.59","0.0,0.64,0.71,0.58",0.5,"0.0,2688.83,1337.67,0.0"
81,"4.95,1.06,5.52,15.4","0.0,0.92,0.0,0.0",0.5,"0.0,1771.06,1337.67,0.0"
82,"10.36,6.88,2.36,10.93","0.0,0.0,0.2,0.0",0.5,"0.0,1771.06,1140.53,0.0"
83,"9.8,2.59,1.09,13.27","0.0,0.25,0.85,0.0",0.5,"0.0,1519.35,286.77,0.0"
84,"7.29,1.38,5.27,11.96","0.0,0.65,0.0,0.0",0.5,"0.0,865.82,286.77,0.0"
85,"8.42,2.76,0.99,13.05","0.0,0.21,0.89,0.0",0.75,"0.0,658.05,0.0,0.0"
86,"8.52,2.06,3.42,15.08","0.0,0.38,0.0,0.0",0.75,"0.0,274.76,0.0,0.0"
87,"9.06,3.21,1.88,14.37","0.0,0.16,0.0,0.0",0.75,"0.0,114.08,0.0,0.0"
88,"9.42,3.05,6.49,13.33","0.0,0.18,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
89,"4.19,9.64,4.07,15.28","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
90,"9.6,4.7,2.55,13.82","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
91,"10.6,5.87,2.14,15.84","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
92,"7.37,5.21,0.53,13.49","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
93,"8.27,6.21,3.97,12.87","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
94,"8.5,8.67,3.96,13.17","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
95,"10.45,7.3,5.82,12.14","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
96,"8.41,6.98,3.68,15.57","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
97,"10.97,7.47,2.48,15.33","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
98,"5.92,6.53,3.83,12.52","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
99,"7.89,7.73,4.82,13.81","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
0,"1.88,1.46,0.99,1.91","0.45,0.57,1.0,0.44",0.0,"41948.03,41829.78,41403.5,41955.46"
1,"3.91,3.39,0.95,1.34","0.09,0.14,0.97,0.72",0.0,"41854.5,41689.33,40433.43,41232.33"
2,"1.9,1.4,3.09,1.4","0.43,0.62,0.0,0.68",0.0,"41425.25,41072.82,40433.43,40549.23"
3,"1.16,1.33,2.03,1.37","0.84,0.73,0.35,0.7",0.0,"40587.81,40345.68,40078.49,39844.33"
4,"9.48,2.82,1.61,2.24","0.0,0.21,0.4,0.34",0.0,"40587.81,40132.46,39681.38,39500.01"
5,"1.0,1.2,4.62,1.03","0.95,0.78,0.0,0.95",0.0,"39639.23,39347.75,39681.38,38550.13"
6,"3.48,1.31,1.92,1.16","0.13,0.68,0.39,0.86",0.0,"39510.52,38666.61,39295.8,37692.98"
7,"8.49,1.4,0.49,13.74","0.0,0.68,0.71,0.0",0.0,"39510.52,37989.89,38582.56,37692.98"
8,"2.66,1.26,0.96,4.68","0.24,0.75,1.0,0.06",0.0,"39271.86,37238.52,37586.47,37635.72"
9,"1.14,7.64,2.54,1.16","0.85,0.0,0.26,0.85",0.0,"38423.76,37238.52,37331.43,36781.72"
10,"2.1,2.98,1.64,1.69","0.36,0.18,0.52,0.54",0.0,"38061.45,37062.0,36813.35,36246.03"
11,"2.0,0.99,1.03,1.01","0.4,0.88,0.87,0.99",0.0,"37658.71,36177.68,35939.67,35259.48"
12,"1.1,4.23,3.96,1.95","0.88,0.07,0.0,0.43",0.0,"36783.06,36103.5,35939.67,34826.83"
13,"7.87,1.91,1.59,1.57","0.0,0.43,0.55,0.59",0.0,"36783.06,35673.28,35392.54,34236.21"
14,"0.99,1.37,0.1,15.32","1.0,0.66,0.62,0.0",0.0,"35787.25,35014.34,34777.43,34236.21"
15,"2.55,1.04,0.63,1.68","0.26,0.78,0.98,0.54",0.0,"35529.47,34232.46,33797.3,33696.72"
16,"2.81,1.27,0.89,1.56","0.21,0.76,0.78,0.6",0.0,"35322.51,33476.98,33013.09,33098.33"
17,"1.25,1.18,2.22,1.61","0.78,0.83,0.34,0.57",0.0,"34539.2,32651.44,32672.9,32526.67"
18,"1.4,1.0,5.29,2.5","0.62,0.98,0.0,0.28",0.0,"33920.32,31666.76,32672.9,32246.35"
19,"1.67,1.0,1.15,1.0","0.54,0.99,0.83,1.0",0.0,"33379.32,30680.11,31838.91,31245.04"
20,"2.51,1.11,0.92,1.27","0.27,0.88,0.97,0.77",0.0,"33107.41,29801.01,30868.87,30475.79"
21,"4.52,1.76,1.26,1.15","0.0,0.39,0.73,0.87",0.0,"33107.41,29407.41,30139.07,29609.66"
22,"1.0,6.16,3.99,1.69","0.96,0.0,0.0,0.53",0.0,"32151.22,29407.41,30139.07,29074.74"
23,"0.99,1.04,1.9,1.57","0.95,0.95,0.14,0.59",0.0,"31198.8,28456.91,29997.79,28481.9"
24,"1.56,1.72,1.64,1.0","0.59,0.42,0.52,1.0",0.0,"30604.43,28032.65,29482.56,27480.31"
25,"1.16,8.53,1.08,1.0","0.83,0.0,0.13,1.0",0.0,"29778.77,28032.65,29354.56,26479.13"
26,"1.72,1.53,4.38,1.01","0.52,0.6,0.0,0.99",0.0,"29260.76,27433.67,29354.56,25488.52"
27,"1.54,1.2,1.32,1.84","0.52,0.82,0.7,0.47",0.0,"28738.76,26615.36,28655.44,25014.23"
28,"7.91,0.99,1.41,1.0","0.0,0.99,0.65,1.0",0.0,"28738.76,25626.42,28005.22,24014.31"
